,authors,hotels,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8
87,lass=,301648,5,-1,4,-1,5,-1,5,-1
88,lass=,301648,5,-1,5,-1,-1,-1,5,-1
89,giacomo_C,301648,4,3,4,3,5,4,4,-1
90,lass=,301648,2,-1,3,-1,4,-1,2,-1
91,lass=,301648,4,-1,5,-1,-1,-1,5,-1
92,lass=,301648,0,-1,-1,-1,-1,-1,-1,-1
93,DownunderSugarglider,262569,3,3,3,3,5,3,3,-1
94,Kiwi75,262569,3,3,3,3,3,3,3,3
95,ozcookie1,262569,5,5,5,2,5,5,5,4
96,firebucket,262569,5,5,5,5,5,5,5,5
97,splatnz,262569,4,4,4,3,5,5,5,4
98,wacka,262569,4,4,5,5,5,5,5,3
99,skyfriendbrighton,262569,5,4,4,4,5,5,5,-1
100,Niall,262569,5,5,5,5,5,5,5,-1
101,Eric_Beylon,262569,5,5,4,5,5,5,5,-1
102,vague travellers,262569,3,4,3,3,4,4,2,-1
103,A TripAdvisor Member,262569,5,4,4,-1,5,-1,5,-1
104,A TripAdvisor Member,262569,2,3,2,-1,4,-1,2,-1
105,uluvbs,262569,5,4,4,-1,5,-1,5,-1
106,swisstourist,262569,5,5,5,-1,5,-1,5,-1
107,A TripAdvisor Member,262569,5,5,5,-1,5,-1,5,-1
108,rdk8,262569,5,5,5,-1,5,-1,5,-1
109,Diane-TA,262569,5,4,5,-1,5,-1,5,-1
110,burgo1804,262569,5,4,5,-1,5,-1,4,-1
111,MelbGal1972,262569,5,-1,-1,-1,-1,-1,-1,-1
112,lass=,262569,4,4,4,-1,4,-1,3,-1
113,A TripAdvisor Member,262569,4,-1,-1,-1,-1,-1,-1,-1
114,A TripAdvisor Member,262569,2,-1,-1,-1,-1,-1,-1,-1
115,A TripAdvisor Member,262569,1,-1,-1,-1,-1,-1,-1,-1
116,baware,262569,5,-1,-1,-1,-1,-1,-1,-1
117,lass=,262569,5,-1,5,-1,-1,-1,5,-1
118,MathiasStockholm,109454,4,5,4,4,5,4,5,5
119,emdoc,109454,3,2,3,4,3,2,2,2
120,A TripAdvisor Member,109454,4,5,4,-1,5,-1,5,-1
121,jon160,109454,1,2,1,-1,2,-1,1,-1
122,A TripAdvisor Member,109454,4,5,4,-1,3,-1,4,-1
123,aptbroker1,109454,5,5,5,-1,4,-1,4,-1
124,A TripAdvisor Member,109454,2,-1,-1,-1,-1,-1,-1,-1
125,A TripAdvisor Member,109454,4,-1,-1,-1,-1,-1,-1,-1
126,mrjanto,109454,2,2,3,-1,4,-1,2,-1
127,lass=,109454,4,-1,4,-1,5,-1,4,-1
128,lass=,109454,4,-1,3,-1,4,-1,5,-1
129,lass=,109454,4,-1,4,-1,4,-1,4,-1
130,lass=,109454,4,-1,5,-1,4,-1,4,-1
131,Chantiklook,649857,5,5,5,5,5,5,5,5
132,paulieuk,649857,4,5,5,3,4,4,5,4
133,lass=,649857,4,-1,3,-1,-1,-1,4,-1
134,lass=,649857,2,-1,2,-1,-1,-1,2,-1
135,lass=,649857,5,-1,5,-1,-1,-1,5,-1
136,lass=,649857,4,-1,4,-1,-1,-1,4,-1
137,lass=,649857,5,-1,4,-1,-1,-1,5,-1
138,sbccc,602600,4,-1,-1,-1,-1,-1,-1,-1
139,SSemone,602600,4,-1,4,5,4,5,4,-1
140,ianp1,602600,5,5,5,5,5,5,5,5
141,PlanoTripper,602600,5,4,5,4,4,5,5,-1
142,Greg00,602600,5,5,5,4,5,5,5,5
143,Austin-1975,602600,4,4,4,3,4,3,4,4
144,picturejoy,602600,5,5,5,4,5,5,5,5
145,weemacs,602600,5,4,5,3,4,4,5,5
146,J_and_A_1,602600,4,4,4,4,4,4,4,-1
147,lagniappe34,602600,2,3,3,5,4,1,1,-1
148,DRace,602600,5,4,5,4,5,5,5,5
149,ProudTexan,602600,5,4,5,5,5,5,5,3
150,mhp6,602600,5,5,5,5,5,5,5,-1
151,amieckow,602600,4,3,5,2,5,3,3,-1
152,Insideinfo77,602600,4,4,5,3,4,2,2,-1
153,SheWhoWanders,602600,5,5,5,5,5,5,5,4
154,ddsandy,602600,4,4,4,5,4,5,-1,-1
155,Dorkydad,602600,5,4,5,5,5,4,5,4
156,TanyaP,602600,5,4,5,5,5,5,5,5
157,friscocat,602600,5,4,5,3,5,5,5,5
158,alisa110,602600,5,4,5,4,5,5,5,5
159,harleybonz,268257,4,4,4,5,4,5,5,-1
160,KOinCT,268257,3,4,4,4,4,4,4,-1
161,hal9341,268257,3,3,5,5,5,4,2,4
162,blondemommy05,268257,5,5,5,5,5,5,5,-1
163,Giveypup,268257,4,4,4,3,4,4,2,-1
164,stevenr35,268257,4,4,5,4,5,2,3,3
165,Jemimagold,268257,4,5,5,5,1,5,1,-1
166,onoman,268257,4,4,4,5,5,5,3,3
167,Vancouver_Roary,268257,4,4,5,4,5,3,3,4
168,ggtirevite,268257,4,4,5,5,4,5,4,-1
169,ntravinsky,268257,5,5,5,5,5,5,5,5
170,like2travelWa,268257,4,4,5,4,4,4,4,3
171,ariana,268257,5,5,5,5,4,4,5,3
172,bellaherna,268257,4,-1,-1,-1,-1,-1,-1,-1
173,emdoc,268257,4,4,5,5,5,5,5,5
174,A TripAdvisor Member,268257,5,-1,-1,-1,-1,-1,-1,-1
175,alyson003,268257,5,3,5,-1,4,-1,5,-1
176,A TripAdvisor Member,268257,5,4,5,-1,5,-1,5,-1
177,A TripAdvisor Member,268257,5,3,5,-1,5,-1,5,-1
178,A TripAdvisor Member,268257,3,3,4,-1,5,-1,2,-1
179,A TripAdvisor Member,268257,2,2,2,-1,2,-1,2,-1
180,A TripAdvisor Member,268257,5,5,5,-1,5,-1,5,-1
181,Tedcof,268257,4,4,4,-1,4,-1,2,-1
182,A TripAdvisor Member,268257,4,3,5,-1,4,-1,5,-1
183,A TripAdvisor Member,268257,2,3,3,-1,4,-1,2,-1
184,A TripAdvisor Member,268257,4,-1,-1,-1,-1,-1,-1,-1
185,A TripAdvisor Member,268257,5,5,4,-1,5,-1,5,-1
186,Janie M,268257,4,-1,-1,-1,-1,-1,-1,-1
187,Ksem,268257,5,4,5,-1,5,-1,5,-1
188,Grommit7,268257,5,-1,-1,-1,-1,-1,-1,-1
189,A TripAdvisor Member,268257,2,-1,-1,-1,-1,-1,-1,-1
190,A TripAdvisor Member,268257,1,3,3,-1,4,-1,2,-1
191,lass=,268257,2,-1,-1,-1,-1,-1,-1,-1
192,lass=,268257,5,-1,5,-1,5,-1,5,-1
193,Claire099,239541,4,4,3,5,4,5,4,4
194,melodyMD,239541,3,5,4,4,3,5,4,4
195,Tadzio76,239541,4,5,2,5,2,5,3,-1
196,A TripAdvisor Member,239541,4,-1,-1,-1,-1,-1,-1,-1
197,A TripAdvisor Member,239541,5,5,4,-1,5,-1,5,-1
198,A TripAdvisor Member,239541,2,4,2,-1,3,-1,5,-1
199,A TripAdvisor Member,239541,4,5,4,-1,2,-1,5,-1
200,A TripAdvisor Member,239541,5,5,5,-1,5,-1,5,-1
201,A TripAdvisor Member,239541,2,2,1,-1,1,-1,4,-1
202,JCSide,239541,4,5,3,-1,4,-1,3,-1
203,A TripAdvisor Member,239541,3,-1,-1,-1,-1,-1,-1,-1
204,A TripAdvisor Member,239541,4,4,3,-1,3,-1,3,-1
205,A TripAdvisor Member,239541,5,-1,-1,-1,-1,-1,-1,-1
206,A TripAdvisor Member,239541,2,-1,-1,-1,-1,-1,-1,-1
207,luxlovernyc,235513,5,5,5,5,5,5,5,4
208,WestcoastguyYVR,235513,5,4,5,4,5,5,5,4
209,jdf3361,235513,5,5,5,5,5,5,5,-1
210,Jill_Downunder,235513,5,5,5,5,5,5,5,5
211,Japan_Gaijin,235513,4,4,4,5,4,5,5,3
212,HuarenToronto,235513,4,4,4,4,4,5,4,3
213,Lucy_Jones,235513,4,4,5,5,5,3,3,-1
214,pims2007,235513,5,5,5,5,5,5,5,5
215,pz25,235513,5,5,5,5,5,5,5,-1
216,travelinbunny,235513,5,-1,5,5,5,5,5,3
217,YC-YVR,235513,4,3,5,3,5,4,3,-1
218,sandaUk,235513,4,-1,-1,-1,-1,-1,-1,-1
219,bunnyegg,235513,5,5,5,5,5,5,5,5
220,roar_03,235513,3,4,3,5,2,5,4,3
221,Mme_X,235513,4,5,4,4,5,5,5,-1
222,matthijst,235513,4,3,5,4,5,4,4,5
223,Jin_Jiang,235513,4,3,3,5,4,4,4,-1
224,gracielu,235513,2,-1,-1,-1,-1,-1,-1,-1
225,chocolatefriend,235513,2,3,3,5,4,3,3,1
226,libertyproject,235513,5,-1,5,5,5,5,5,5
227,giulietta429,235513,4,3,4,4,4,4,2,3
228,COhotelcritic,235513,5,5,4,5,4,4,5,2
229,Polarwanderer,235513,5,-1,-1,-1,-1,-1,-1,-1
230,tomtom333,235513,5,4,5,5,5,5,5,-1
231,orr333,235513,4,3,5,4,5,5,5,4
232,warum,235513,3,3,4,4,4,1,2,3
233,wacka,235513,5,5,5,5,5,5,5,5
234,BostonAdrianne,235513,5,5,5,5,5,5,5,4
235,ohbuddy18,235513,5,4,5,5,5,5,5,3
236,English_Traveller-7,235513,5,3,5,5,5,3,5,5
237,Insightful,235513,5,5,5,5,5,5,5,5
238,A TripAdvisor Member,235513,5,5,5,-1,5,-1,5,-1
239,A TripAdvisor Member,235513,5,4,5,-1,5,-1,5,-1
240,A TripAdvisor Member,235513,3,3,4,-1,5,-1,2,-1
241,A TripAdvisor Member,235513,5,3,5,-1,5,-1,5,-1
242,A TripAdvisor Member,235513,3,3,3,-1,3,-1,4,-1
243,JTB9110,235513,2,2,4,-1,4,-1,2,-1
244,parfro,235513,5,3,4,-1,5,-1,5,-1
245,A TripAdvisor Member,235513,4,5,4,-1,4,-1,5,-1
246,WhiteTara,235513,5,4,5,-1,5,-1,5,-1
247,A TripAdvisor Member,235513,4,4,3,-1,5,-1,5,-1
248,FlyOneWorld,235513,3,4,5,-1,2,-1,4,-1
249,A TripAdvisor Member,235513,5,-1,-1,-1,-1,-1,-1,-1
250,rfc_traveler,235513,5,4,5,-1,5,-1,5,-1
251,Grommit7,235513,5,5,5,-1,5,-1,5,-1
252,A TripAdvisor Member,235513,2,2,4,-1,5,-1,1,-1
253,sctrojan1,235513,5,5,5,-1,5,-1,5,-1
254,A TripAdvisor Member,235513,5,5,5,-1,5,-1,4,-1
255,Renierk,235513,5,5,5,-1,5,-1,5,-1
256,A TripAdvisor Member,235513,4,3,4,-1,5,-1,5,-1
257,jah123,235513,5,5,5,-1,5,-1,5,-1
258,lass=,235513,5,-1,-1,-1,-1,-1,-1,-1
259,lawahoo2001,235513,4,-1,-1,-1,-1,-1,-1,-1
260,A TripAdvisor Member,235513,4,-1,-1,-1,-1,-1,-1,-1
261,A TripAdvisor Member,235513,2,-1,-1,-1,-1,-1,-1,-1
262,lass=,235513,5,-1,5,-1,5,-1,5,-1
263,lass=,235513,4,-1,5,-1,5,-1,4,-1
264,ADDLille-France,235513,5,5,5,5,5,5,5,-1
265,lass=,235513,4,-1,4,-1,4,-1,3,-1
266,Katstill,307577,4,4,4,5,4,5,5,4
267,journeymakers,307577,5,-1,-1,-1,-1,-1,-1,-1
268,ShropshireHelly,307577,5,5,5,5,5,5,5,-1
269,brandenburg5,307577,4,5,3,5,5,5,4,1
270,wimbrussel,307577,1,1,1,4,2,1,1,-1
271,hi3655,307577,4,4,3,5,5,5,5,1
272,englishdaisy,307577,5,5,5,4,5,5,5,3
273,anouk24,307577,4,4,5,4,4,4,4,3
274,travelbuggedtony,307577,5,5,4,4,4,5,5,-1
275,Happynoodleboy_uk,307577,2,2,2,2,3,4,4,-1
276,pinkgizmo,307577,4,-1,-1,-1,-1,-1,-1,-1
277,A TripAdvisor Member,307577,5,5,5,-1,5,-1,5,-1
278,A TripAdvisor Member,307577,5,5,4,-1,4,-1,5,-1
279,A TripAdvisor Member,307577,5,4,4,-1,3,-1,4,-1
280,Judith Whicker,307577,4,4,4,-1,5,-1,5,-1
281,Henkybaby,307577,3,4,3,-1,3,-1,4,-1
282,toto124,307577,3,2,2,4,3,3,3,4
283,lass=,307577,5,-1,5,-1,-1,-1,5,-1
284,lass=,307577,0,-1,-1,-1,-1,-1,-1,-1
285,heb999,305349,3,-1,3,3,4,4,3,4
286,LuxTraveller,305349,2,3,2,3,2,2,2,2
287,heimishe-traveler,305349,4,4,3,3,4,4,3,5
288,emiao,305349,3,-1,-1,-1,-1,-1,-1,-1
289,A TripAdvisor Member,305349,4,4,4,-1,5,-1,4,-1
290,A TripAdvisor Member,305349,3,-1,-1,-1,-1,-1,-1,-1
291,A TripAdvisor Member,305349,1,2,2,-1,1,-1,2,-1
292,gabirds,305349,3,3,3,-1,4,-1,3,-1
293,A TripAdvisor Member,305349,5,5,4,-1,5,-1,5,-1
294,A TripAdvisor Member,305349,5,-1,-1,-1,-1,-1,-1,-1
295,lass=,305349,3,-1,4,-1,-1,-1,2,-1
296,lass=,305349,4,-1,4,-1,4,-1,4,-1
297,janefromcairns,559726,3,3,3,3,4,4,4,1
298,darrylpmatthews,559726,2,2,2,4,3,1,1,-1
299,barbiespice99,559726,4,5,4,3,5,3,5,5
300,Tymm,559726,4,5,3,4,4,4,5,5
301,CanadianTraveller100,559726,4,5,3,5,3,4,5,3
302,chocolatefriend,559726,4,5,3,4,4,4,4,3
303,irishmm,559726,4,4,5,3,5,3,4,-1
304,OntarioJackson,559726,5,5,4,4,4,5,5,4
305,sparkggl,559726,4,5,4,3,4,4,5,4
306,paulaandrobert,559726,4,4,5,4,4,4,-1,4
307,DenverBrian,559726,3,3,2,3,3,3,2,1
308,cubanito1,559726,3,3,3,5,3,5,3,3
309,RikuB,559726,2,4,2,2,2,3,1,2
310,mikemo,559726,3,-1,-1,-1,-1,-1,-1,-1
311,henulj-lse,559726,4,5,4,5,4,5,5,3
312,flyingmonkey,559726,5,5,4,3,5,4,4,5
313,SugarWahine,559726,4,-1,-1,-1,-1,-1,-1,-1
314,2impatient,559726,2,2,3,1,3,4,4,-1
315,physioT,559726,4,4,4,4,4,5,5,4
316,HLinkowich,559726,2,2,2,2,4,4,-1,-1
317,rtpac,559726,5,-1,-1,-1,-1,-1,-1,-1
318,RileyAccounting.Net,559726,1,1,1,1,3,3,3,3
319,flygurl814,559726,5,5,5,5,4,5,5,-1
320,A TripAdvisor Member,559726,4,-1,-1,-1,-1,-1,-1,-1
321,A TripAdvisor Member,559726,4,5,5,-1,5,-1,4,-1
322,A TripAdvisor Member,559726,5,5,3,-1,5,-1,4,-1
323,A TripAdvisor Member,559726,4,5,4,-1,4,-1,4,-1
324,RolexNY,559726,5,-1,-1,-1,-1,-1,-1,-1
325,A TripAdvisor Member,559726,5,5,5,-1,5,-1,5,-1
326,A TripAdvisor Member,559726,4,5,4,-1,5,-1,5,-1
327,A TripAdvisor Member,559726,5,4,4,-1,5,-1,4,-1
328,A TripAdvisor Member,559726,5,5,4,-1,5,-1,5,-1
329,A TripAdvisor Member,559726,4,5,4,-1,4,-1,5,-1
330,A TripAdvisor Member,559726,5,-1,-1,-1,-1,-1,-1,-1
331,A TripAdvisor Member,559726,2,-1,-1,-1,-1,-1,-1,-1
332,A TripAdvisor Member,559726,4,5,5,-1,5,-1,5,-1
333,A TripAdvisor Member,559726,5,5,5,-1,5,-1,4,-1
334,A TripAdvisor Member,559726,4,4,4,-1,5,-1,5,-1
335,Ridgesas,559726,4,5,3,-1,3,-1,4,-1
336,A TripAdvisor Member,559726,4,5,5,-1,5,-1,3,-1
337,A TripAdvisor Member,559726,4,4,5,-1,5,-1,4,-1
338,A TripAdvisor Member,559726,3,4,4,-1,4,-1,2,-1
339,銈傘亱銇枫倞銈?> 銈傘亱銇枫倞銈?</a> </div>,559726,5,5,4,5,5,5,5,5
340,lass=,559726,5,-1,5,-1,5,-1,5,-1
341,lass=,559726,3,-1,4,-1,3,-1,2,-1
342,lass=,559726,4,-1,4,-1,5,-1,4,-1
343,lass=,559726,4,-1,5,-1,5,-1,4,-1
344,lass=,559726,0,-1,-1,-1,-1,-1,-1,-1
345,lass=,559726,5,-1,4,-1,5,-1,5,-1
346,JenjaySeevetal,559726,2,2,2,1,2,2,2,2
347,lass=,559726,4,-1,4,-1,4,-1,4,-1
348,lass=,559726,4,-1,4,-1,5,-1,5,-1
349,lass=,559726,1,-1,1,-1,1,-1,2,-1
350,lass=,559726,4,-1,4,-1,-1,-1,4,-1
351,report88,197447,5,5,5,4,5,5,5,4
352,RWAppleWannabe,197447,4,4,5,4,5,5,4,5
353,KGTravels,197447,4,4,3,5,5,5,5,-1
354,running,197447,4,4,4,4,4,4,4,-1
355,A TripAdvisor Member,197447,4,4,3,-1,5,-1,4,-1
356,Blondie247772,197447,3,3,2,-1,4,-1,5,-1
357,A TripAdvisor Member,197447,5,5,5,-1,5,-1,5,-1
358,A TripAdvisor Member,197447,1,1,1,-1,-1,-1,1,-1
359,moulinal5,197447,4,5,2,-1,5,-1,5,-1
360,A TripAdvisor Member,197447,5,4,4,-1,4,-1,5,-1
361,A TripAdvisor Member,197447,5,4,4,-1,5,-1,5,-1
362,A TripAdvisor Member,197447,5,5,3,-1,5,-1,5,-1
363,A TripAdvisor Member,197447,5,5,4,-1,5,-1,5,-1
364,A TripAdvisor Member,197447,5,-1,-1,-1,-1,-1,-1,-1
365,f100zardoz,197447,4,-1,-1,-1,-1,-1,-1,-1
366,f999,197447,2,2,3,-1,3,-1,2,-1
367,A TripAdvisor Member,197447,4,-1,-1,-1,-1,-1,-1,-1
368,A TripAdvisor Member,197447,1,3,3,-1,1,-1,1,-1
369,A TripAdvisor Member,197447,3,-1,-1,-1,-1,-1,-1,-1
370,Malkmus,197447,4,-1,-1,-1,-1,-1,-1,-1
371,A TripAdvisor Member,197447,2,-1,-1,-1,-1,-1,-1,-1
372,Standby4321,197447,5,-1,-1,-1,-1,-1,-1,-1
373,A TripAdvisor Member,197447,5,5,3,-1,5,-1,4,-1
374,A TripAdvisor Member,197447,1,-1,-1,-1,-1,-1,-1,-1
375,lass=,197447,3,3,4,-1,3,-1,4,-1
376,lass=,197447,3,3,2,-1,3,-1,3,-1
377,lass=,197447,4,4,4,-1,4,-1,3,-1
378,sherrera95376,87090,3,3,3,5,2,5,3,3
379,Gr8ful321,87090,3,-1,-1,-1,-1,-1,-1,-1
380,TokyoSurferboy,87090,3,2,3,3,3,2,-1,-1
381,Catherine19,87090,2,3,2,4,3,3,3,-1
382,HorseyGirlSydney,87090,1,2,1,3,1,2,2,3
383,Kilikena,87090,3,2,2,2,2,2,2,1
384,Bristraveler,87090,4,4,4,-1,4,-1,4,-1
385,A TripAdvisor Member,87090,3,2,2,-1,2,-1,2,-1
386,LadyElle,87090,3,-1,-1,-1,-1,-1,-1,-1
387,A TripAdvisor Member,87090,2,-1,-1,-1,-1,-1,-1,-1
388,A TripAdvisor Member,87090,4,-1,-1,-1,-1,-1,-1,-1
389,A TripAdvisor Member,87090,4,5,4,-1,4,-1,5,-1
390,A TripAdvisor Member,87090,4,4,5,-1,4,-1,5,-1
391,A TripAdvisor Member,87090,3,3,3,-1,3,-1,3,-1
392,A TripAdvisor Member,87090,5,5,4,-1,4,-1,4,-1
393,A TripAdvisor Member,87090,2,2,2,-1,2,-1,3,-1
394,A TripAdvisor Member,87090,1,3,1,-1,1,-1,2,-1
395,A TripAdvisor Member,87090,1,1,1,-1,1,-1,1,-1
396,A TripAdvisor Member,87090,2,1,1,-1,1,-1,3,-1
397,A TripAdvisor Member,87090,4,4,4,-1,4,-1,4,-1
398,Sharpette,87090,4,4,4,-1,4,-1,3,-1
399,A TripAdvisor Member,87090,4,5,4,-1,4,-1,4,-1
400,A TripAdvisor Member,87090,3,4,3,-1,3,-1,4,-1
401,A TripAdvisor Member,87090,4,5,5,-1,5,-1,-1,-1
402,A TripAdvisor Member,87090,2,2,2,-1,3,-1,1,-1
403,heads_up,87090,3,4,3,-1,3,-1,3,-1
404,A TripAdvisor Member,87090,4,4,3,-1,3,-1,2,-1
405,A TripAdvisor Member,87090,4,4,3,-1,3,-1,3,-1
406,A TripAdvisor Member,87090,2,3,2,-1,1,-1,3,-1
407,A TripAdvisor Member,87090,3,-1,-1,-1,-1,-1,-1,-1
408,A TripAdvisor Member,87090,3,4,3,-1,4,-1,3,-1
409,A TripAdvisor Member,87090,2,2,2,-1,1,-1,2,-1
410,A TripAdvisor Member,87090,1,-1,-1,-1,-1,-1,-1,-1
411,A TripAdvisor Member,87090,4,5,3,-1,3,-1,4,-1
412,Craigy,87090,5,5,5,-1,5,-1,5,-1
413,A TripAdvisor Member,87090,5,4,4,-1,5,-1,5,-1
414,A TripAdvisor Member,87090,5,-1,-1,-1,-1,-1,-1,-1
415,llcook00,87090,4,4,3,-1,4,-1,4,-1
416,A TripAdvisor Member,87090,4,5,3,-1,4,-1,4,-1
417,morgan52,87090,3,-1,-1,-1,-1,-1,-1,-1
418,銈勩亶銇濄伆,87090,4,-1,-1,-1,-1,-1,-1,-1
419,lass=,87090,4,-1,4,-1,-1,-1,4,-1
420,celine69,87090,3,4,5,5,5,5,5,-1
421,lass=,87090,4,-1,3,-1,4,-1,4,-1
422,lass=,87090,2,-1,2,-1,2,-1,2,-1
423,lass=,87090,4,-1,4,-1,4,-1,4,-1
424,lass=,87090,3,-1,3,-1,-1,-1,3,-1
425,lass=,87090,4,-1,4,-1,-1,-1,3,-1
426,lass=,87090,0,-1,-1,-1,-1,-1,-1,-1
427,ghanno,284258,5,5,5,4,5,5,5,3
428,vissi87,284258,4,5,4,4,4,4,3,4
429,CleaSan,284258,5,5,5,5,5,5,5,5
430,miaow_girl,284258,5,5,5,5,5,5,5,-1
431,DownunderSugarglider,284258,4,4,4,4,5,5,4,3
432,Fastbloke,284258,4,4,4,4,5,4,4,4
433,PoosieMelbourne,284258,4,4,5,5,5,4,3,-1
434,ozmadmax,284258,1,1,3,2,2,1,1,3
435,hellwolf,284258,4,3,4,4,3,4,2,-1
436,spartac,284258,4,4,5,4,5,3,4,-1
437,Always_on_holidays,284258,2,5,5,5,5,5,3,-1
438,australian73,284258,4,4,5,5,5,3,4,-1
439,MikeJCartwright,284258,5,5,4,4,5,5,5,4
440,ricardoHK,284258,5,4,4,5,4,3,3,-1
441,vague travellers,284258,3,3,4,4,4,3,3,4
